Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00687441750629358,0.00016840998628298,0.0396430373516859,0,0,0,6.93631041360623,0.0336459138280558,-8.7953687962115E-07,1.40887605515341E-06,0.054209835778547,-1.8869649634849E-06,0.0868280053141142,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/base_link.STL,0.43921568627451,0.411764705882353,0.411764705882353,1,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/base_link.STL,,PowerSolution-1;ArmHolder-1;BaseTop_v3-1;BaseToArm-1;BaseToIMUHolder-2;BaseToIMUHolder-1;BaseIMUHolder-1;MiddleBaseToTopBase-4;MiddleBaseToTopBase-3;MiddleBaseToTopBase-2;MiddleBaseToTopBase-1;AK80-8-13;AK80-8-9;BaseMiddle_v2-1;AK80-8-5;AK80-8-1;Uservo-Flex-EtherCAT_simplify-16;Uservo-Flex-EtherCAT_simplify-15;Uservo-Flex-EtherCAT_simplify-14;Uservo-Flex-EtherCAT_simplify-13;Uservo-Flex-EtherCAT_simplify-12;Uservo-Flex-EtherCAT_simplify-11;Uservo-Flex-EtherCAT_simplify-10;Uservo-Flex-EtherCAT_simplify-9;Uservo-Flex-EtherCAT_simplify-8;Uservo-Flex-EtherCAT_simplify-7;Uservo-Flex-EtherCAT_simplify-6;Uservo-Flex-EtherCAT_simplify-5;Uservo-Flex-EtherCAT_simplify-4;Uservo-Flex-EtherCAT_simplify-3;Uservo-Flex-EtherCAT_simplify-2;Uservo-Flex-EtherCAT_simplify-1;IMU-1;NUC11TNKv7-1;BatteryTB48D-4;BatteryTB48D-3;BatteryCarrier-2;BatteryCarrier-1,coord_base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_abad,3.96909066446849E-05,-0.000913510036137183,0.0141455115549921,0,0,0,0.364781129600683,0.000214071586798384,2.33639275270931E-07,-3.02901820553949E-07,0.000372454562010097,-2.19156777432853E-07,0.000262021229869407,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_front_abad.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_front_abad.STL,,OneLeggedWheel-2/abadToHip_v2-1;OneLeggedWheel-2/AK80-8-1,coord_left_front_abad&hip,Axis1 <OneLeggedWheel-2>,left_front_abad,revolute,0.169999999999999,0.120000000000005,-0.0510000000000034,0,0,0,base_link,0,0,1,10,275,-3.14,3.14,,,,,,,,
left_front_hip,0.000257190709675226,0.058783752059471,-0.0187965428097329,0,0,0,0.58601696675297,0.000416527877754753,-3.62595971993563E-07,2.33666319471906E-06,0.000634287646205887,8.88036094220621E-06,0.000299341608899424,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_front_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_front_hip.STL,,OneLeggedWheel-2/bearing_MF63ZZ-4;OneLeggedWheel-2/bearing_MF63ZZ-3;OneLeggedWheel-2/hipToKnee_v2-1;OneLeggedWheel-2/TensileWheel_v1-2;OneLeggedWheel-2/Tensile-2;OneLeggedWheel-2/Tensile-1;OneLeggedWheel-2/TensileWheel_v1-1;OneLeggedWheel-2/bearing_MF63ZZ-2;OneLeggedWheel-2/bearing_MF63ZZ-1;OneLeggedWheel-2/thighPart3_v3-1;OneLeggedWheel-2/thighPart2_v3-1;OneLeggedWheel-2/flangeGearH10-1;OneLeggedWheel-2/GPA18GT5090_A_H10_3-1;OneLeggedWheel-2/kneeToGear-1;OneLeggedWheel-2/thighPart1-1;OneLeggedWheel-2/AK80-8-2,coord_left_front_abad&hip,Axis2 <OneLeggedWheel-2>,left_front_hip,revolute,0,0,0,0,0,0,left_front_abad,0,1,0,10,275,-3.14,3.14,,,,,,,,
left_front_knee,7.76403467184217E-07,0.101384054323778,-0.105775251077242,0,0,0,0.441651824159081,0.000398866453379467,1.00806584895321E-08,-1.08489290087052E-08,0.000612887101614769,2.01368193265162E-05,0.000274530065386405,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_front_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_front_knee.STL,,OneLeggedWheel-2/Bearing6703zz-2;OneLeggedWheel-2/Bearing6703zz-1;OneLeggedWheel-2/AK80-8-3;OneLeggedWheel-2/shank_v2-1;OneLeggedWheel-2/knneShaft-1;OneLeggedWheel-2/flangeY21-2;OneLeggedWheel-2/GPA30GT5150_A_Y21_Q23_R23_S4_5_T4_5_NFC_3-1;OneLeggedWheel-2/flangeY21-1,coord_left_front_knee,Axis3 <OneLeggedWheel-2>,left_front_knee,revolute,0,0,-0.152,0,0,0,left_front_hip,0,1,0,10,275,-3.14,3.14,,,,,,,,
left_front_wheel,-3.30023919303812E-09,0.151096488682378,-2.85931647803217E-09,0,0,0,1.05505860671373,0.00281347246586849,7.07747315785934E-11,5.90686008706454E-11,0.0050229074402748,-5.0044392124206E-11,0.00281347246843757,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_front_wheel.STL,,OneLeggedWheel-2/wheelhub-1;OneLeggedWheel-2/WheekTyre-1,coord_left_front_wheel,Axis4 <OneLeggedWheel-2>,left_front_wheel,continuous,0,0,-0.13,0,0,0,left_front_knee,0,1,0,10,400,,,,,,,,,,
left_back_abad,3.96909066445184E-05,-0.000913510036137211,0.0141455115549919,0,0,0,0.364781129600681,0.000214071586798384,2.33639275270672E-07,-3.0290182055397E-07,0.000372454562010097,-2.19156777432599E-07,0.000262021229869406,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_back_abad.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_back_abad.STL,,OneLeggedWheel-1/abadToHip_v2-1;OneLeggedWheel-1/AK80-8-1,coord_left_back_adad&hip,Axis1 <OneLeggedWheel-1>,left_back_abad,revolute,-0.17,0.12,-0.051,0,0,0,base_link,0,0,1,10,275,-3.14,3.14,,,,,,,,
left_back_hip,0.000257190709675503,0.0587837520594711,-0.018796542809733,0,0,0,0.586016966752973,0.000416527877754754,-3.62595971993404E-07,2.33666319472172E-06,0.000634287646205885,8.88036094220618E-06,0.000299341608899422,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_back_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_back_hip.STL,,OneLeggedWheel-1/bearing_MF63ZZ-4;OneLeggedWheel-1/bearing_MF63ZZ-3;OneLeggedWheel-1/hipToKnee_v2-1;OneLeggedWheel-1/TensileWheel_v1-2;OneLeggedWheel-1/Tensile-2;OneLeggedWheel-1/Tensile-1;OneLeggedWheel-1/TensileWheel_v1-1;OneLeggedWheel-1/bearing_MF63ZZ-2;OneLeggedWheel-1/bearing_MF63ZZ-1;OneLeggedWheel-1/thighPart3_v3-1;OneLeggedWheel-1/thighPart2_v3-1;OneLeggedWheel-1/flangeGearH10-1;OneLeggedWheel-1/GPA18GT5090_A_H10_3-1;OneLeggedWheel-1/kneeToGear-1;OneLeggedWheel-1/thighPart1-1;OneLeggedWheel-1/AK80-8-2,coord_left_back_adad&hip,Axis2 <OneLeggedWheel-1>,left_back_hip,revolute,0,0,0,0,0,0,left_back_abad,0,1,0,10,275,-3.14,3.14,,,,,,,,
left_back_knee,7.76403467406261E-07,0.101384054323778,-0.105775251077242,0,0,0,0.44165182415908,0.000398866453379467,1.00806584895534E-08,-1.08489290083956E-08,0.000612887101614769,2.01368193265164E-05,0.000274530065386405,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_back_knee.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_back_knee.STL,,OneLeggedWheel-1/GPA30GT5150_A_Y21_Q23_R23_S4_5_T4_5_NFC_3-1;OneLeggedWheel-1/Bearing6703zz-1;OneLeggedWheel-1/AK80-8-3;OneLeggedWheel-1/shank_v2-1;OneLeggedWheel-1/knneShaft-1;OneLeggedWheel-1/flangeY21-2;OneLeggedWheel-1/Bearing6703zz-2;OneLeggedWheel-1/flangeY21-1,coord_left_back_knee,Axis3 <OneLeggedWheel-1>,left_back_knee,revolute,0,0,-0.152,0,0,0,left_back_hip,0,1,0,10,275,-3.14,3.14,,,,,,,,
left_back_wheel,-3.30023941508273E-09,0.151096488682378,-2.85931653354332E-09,0,0,0,1.05505860671376,0.00281347246586855,7.07747302017895E-11,5.90686125944754E-11,0.00502290744027486,-5.00443946082781E-11,0.00281347246843757,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_back_wheel.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/left_back_wheel.STL,,OneLeggedWheel-1/WheekTyre-1;OneLeggedWheel-1/wheelhub-1,coord_left_back_wheel,Axis4 <OneLeggedWheel-1>,left_back_wheel,continuous,0,0,-0.13,0,0,0,left_back_knee,0,1,0,10,400,,,,,,,,,,
right_front_abad,3.96909066446849E-05,0.00091351003613778,-0.014145511554992,0,0,0,0.364781129600681,0.000214071586798384,-2.3363927527197E-07,3.02901820553882E-07,0.000372454562010096,-2.19156777427902E-07,0.000262021229869406,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/right_front_abad.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://leggedWheel_urdf_v2/meshes/right_front_abad.STL,,OneLeggedWheel-3/abadToHip_v2-1;OneLeggedWheel-3/AK80-8-1,coord_right_front_abad&hip,Axis1 <OneLeggedWheel-3>,right_front_abad,revolute,0.17,-0.12,-0.051,-3.1416,0,3.1416,base_link,0,0,-1,10,275,-3.14,3.14,,,,,,,,
