Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.8096E-05,3.0411E-05,0.016642,0,0,0,2.4381,0.014289,-6.7134E-07,3.2716E-07,0.022777,-1.1967E-06,0.036656,0,0,0,0,0,0,package://urdf_v1/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_v1/meshes/base_link.STL,,BaseTop-1;BaseMiddle-2;BaseBottom-3;AK80-8-3;AK80-8-2;AK80-8-1;AK80-8-4,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_abad,-7.0488222420062E-07,0.000910475101713326,0.0448439174139079,0,0,0,0.351011776127967,0.000205736028754927,4.53507462810069E-10,7.31342777997734E-10,0.000362960133535242,-9.76831903705345E-11,0.000252777043636962,0,0,0,0,0,0,package://urdf_v1/meshes/left_front_abad.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_v1/meshes/left_front_abad.STL,,abadToHip-3;Ak80modified-12,Coordinate System2,Axis1,left_front_abad,revolute,0.17,0.12,0.002,-3.1416,0,0,base_link,0,0,1,10,275,-3.14,3.14,,,,,,,,
left_front_hip,0.016237,0.00015043,0.038947,0,0,0,0.52568,0.00029551,1.4824E-07,-8.9557E-06,0.00039208,-9.8979E-08,0.00060573,0,0,0,0,0,0,package://urdf_v1/meshes/left_front_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_v1/meshes/left_front_hip.STL,,Ak80modified-11;hipToKnee-3;thighPart1-3;thighPart2_v3-3;thighPart3_v3-4,Coordinate System3,Axis2,left_front_hip,revolute,0,-0.01835,0.057,-1.5708,-1.1238,-3.1416,left_front_abad,0,0,1,10,275,-3.14,3.14,,,,,,,,
left_front_knee,0.11232,1.3956E-06,0.012156,0,0,0,0.39013,0.00024615,-2.8247E-08,-6.2568E-08,0.0003782,6.1132E-10,0.00057051,0,0,0,0,0,0,package://urdf_v1/meshes/left_front_knee.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_v1/meshes/left_front_knee.STL,,GPA30GT5150_A_Y21_Q23_R23_S4_5_T4_5_NFC_3-3;shank-3;Ak80modified-13;knneShaft-3,Coordinate System4,Axis3,left_front_knee,revolute,0.152,0,0.06495,0,0,-2.5592,left_front_hip,0,0,1,10,275,-3.14,3.14,,,,,,,,
left_front_wheel,-1.9805E-11,7.7595E-12,0.00058064,0,0,0,0.42087,0.0011927,-1.6054E-13,1.4074E-15,0.0011927,-1.0975E-15,0.002332,0,0,0,0,0,0,package://urdf_v1/meshes/left_front_wheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_v1/meshes/left_front_wheel.STL,,wheel_v2-3;tyre-3,Coordinate System5,Axis4,left_front_wheel,revolute,0.13,0,0.03845,0,0,0.54146,left_front_knee,0,0,1,10,400,-10000,10000,,,,,,,,
left_back_abad,-7.0488E-07,0.00091048,0.044844,0,0,0,0.35101,0.00020574,4.5351E-10,7.3134E-10,0.00036296,-9.7683E-11,0.00025278,0,0,0,0,0,0,package://urdf_v1/meshes/left_back_abad.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_v1/meshes/left_back_abad.STL,,abadToHip-4;Ak80modified-16,Coordinate System6,Axis5,left_back_abad,revolute,-0.17,0.12,0.002,-3.1416,0,0,base_link,0,0,1,10,275,-3.14,3.14,,,,,,,,
left_back_hip,0.0160946244873415,-6.81384147701303E-05,0.0384467072805027,0,0,0,0.525676783389881,0.000297674704032592,1.10391191587228E-06,-8.86192873308763E-06,0.000389907664635333,4.48465152902723E-08,0.000605728976509944,0,0,0,0,0,0,package://urdf_v1/meshes/left_back_hip.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_v1/meshes/left_back_hip.STL,,hipToKnee-4;Ak80modified-15;thighPart1-4;thighPart2_v3-4;thighPart3_v3-3,Coordinate System7,Axis6,left_back_hip,revolute,0,-0.01885,0.057,-1.5708,-1.1238,3.1416,left_back_abad,0,0,1,10,275,-3.14,3.14,,,,,,,,
left_back_knee,0.11149,1.3852E-06,0.012112,0,0,0,0.39304,0.00024659,-2.8247E-08,-6.2568E-08,0.00037881,6.1132E-10,0.00057156,0,0,0,0,0,0,package://urdf_v1/meshes/left_back_knee.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_v1/meshes/left_back_knee.STL,,flangeY21-2;GPA30GT5150_A_Y21_Q23_R23_S4_5_T4_5_NFC_3-4;shank-4;knneShaft-4;Ak80modified-14,Coordinate System8,Axis7,left_back_knee,revolute,0.152,0,0.06445,0,0,-2.5592,left_back_hip,0,0,1,10,275,-3.14,3.14,,,,,,,,
left_back_wheel,-1.9737E-11,9.0656E-12,0.00058064,0,0,0,0.42087,0.0011927,-1.6054E-13,1.407E-15,0.0011927,-1.1007E-15,0.002332,0,0,0,0,0,0,package://urdf_v1/meshes/left_back_wheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_v1/meshes/left_back_wheel.STL,,wheel_v2-4;tyre-4,Coordinate System9,Axis8,left_back_wheel,revolute,0.13,0,0.03845,0,0,0.54146,left_back_knee,0,0,1,10,400,-10000,10000,,,,,,,,
right_back_abad,7.04881872981566E-07,-0.000910475101723679,0.0448439174139074,0,0,0,0.351011776127967,0.000205736028754927,4.53507462635322E-10,-7.31342777887712E-10,0.000362960133535242,9.7683190550394E-11,0.000252777043636962,0,0,0,0,0,0,package://urdf_v1/meshes/right_back_abad.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_v1/meshes/right_back_abad.STL,,abadToHip-2;Ak80modified-7,Coordinate System10,Axis9,right_back_abad,revolute,-0.17,-0.12,0.002,-3.1416,0,0,base_link,0,0,1,10,275,-3.14,3.14,,,,,,,,
right_back_hip,0.016287,0.00013918,0.038447,0,0,0,0.52568,0.0002959,9.6752E-07,-8.9883E-06,0.00039168,-9.1576E-08,0.00060573,0,0,0,0,0,0,package://urdf_v1/meshes/right_back_hip.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_v1/meshes/right_back_hip.STL,,hipToKnee-2;Ak80modified-8;thighPart1-2;thighPart3_v3-2;thighPart2_v3-2,Coordinate System11,Axis10,right_back_hip,revolute,0,0.01885,0.057,1.5708,-1.1238,3.1416,right_back_abad,0,0,1,10,275,-3.14,3.14,,,,,,,,
right_back_knee,0.11232,1.3953E-06,0.012156,0,0,0,0.39013,0.00024615,-2.8251E-08,-6.2568E-08,0.0003782,6.1131E-10,0.00057051,0,0,0,0,0,0,package://urdf_v1/meshes/right_back_knee.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_v1/meshes/right_back_knee.STL,,GPA30GT5150_A_Y21_Q23_R23_S4_5_T4_5_NFC_3-2;knneShaft-2;shank-2;Ak80modified-9,Coordinate System12,Axis11,right_back_knee,revolute,0.152,0,0.06445,0,0,2.5592,right_back_hip,0,0,1,10,275,-3.14,3.14,,,,,,,,
right_back_wheel,1.3145E-11,-1.7233E-11,0.00058064,0,0,0,0.42087,0.0011927,5.2814E-14,-7.2485E-16,0.0011927,1.6296E-15,0.002332,0,0,0,0,0,0,package://urdf_v1/meshes/right_back_wheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_v1/meshes/right_back_wheel.STL,,wheel_v2-1;tyre-1,Coordinate System13,Axis12,right_back_wheel,revolute,0.13,0,0.03845,0,0,-0.54146,right_back_knee,0,0,1,10,400,-10000,10000,,,,,,,,
right_front_abad,7.0488E-07,-0.00091048,0.044844,0,0,0,0.35101,0.00020574,4.5351E-10,-7.3134E-10,0.00036296,9.7683E-11,0.00025278,0,0,0,0,0,0,package://urdf_v1/meshes/right_front_abad.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_v1/meshes/right_front_abad.STL,,abadToHip-1;Ak80modified-6,Coordinate System14,Axis13,right_front_abad,revolute,0.17,-0.12,0.002,-3.1416,0,0,base_link,0,0,-1,10,275,-3.14,3.14,,,,,,,,
right_front_hip,0.016171,-0.00013919,0.038447,0,0,0,0.52568,0.0002959,9.6752E-07,-8.9124E-06,0.00039168,9.1602E-08,0.00060573,0,0,0,0,0,0,package://urdf_v1/meshes/right_front_hip.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_v1/meshes/right_front_hip.STL,,hipToKnee-1;Ak80modified-5;thighPart1-1;thighPart2_v3-1;thighPart3_v3-1,Coordinate System15,Axis14,right_front_hip,revolute,0,0.01885,0.057,1.5708,-1.1238,-3.1416,right_front_abad,0,0,1,10,275,-3.14,3.14,,,,,,,,
right_front_knee,0.11292,1.4027E-06,0.012216,0,0,0,0.38806,0.00024597,-2.8251E-08,-6.2568E-08,0.00037801,6.1131E-10,0.00057039,0,0,0,0,0,0,package://urdf_v1/meshes/right_front_knee.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_v1/meshes/right_front_knee.STL,,GPA30GT5150_A_Y21_Q23_R23_S4_5_T4_5_NFC_3-1;shank-1;Ak80modified-10,Coordinate System16,Axis15,right_front_knee,revolute,0.152,0,0.06445,0,0,2.5592,right_front_hip,0,0,1,10,275,-3.14,3.14,,,,,,,,
right_front_wheel,1.9436E-11,8.051E-12,0.00058064,0,0,0,0.42087,0.0011927,-1.6054E-13,-1.7652E-15,0.0011927,-2.7669E-16,0.002332,0,0,0,0,0,0,package://urdf_v1/meshes/right_front_wheel.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://urdf_v1/meshes/right_front_wheel.STL,,wheel_v2-2;tyre-2,Coordinate System17,Axis16,right_front_wheel,revolute,0.13,0,0.03845,0,0,-0.54146,right_front_knee,0,0,1,10,400,-10000,10000,,,,,,,,
